"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 08 14:09:11 GMT 2022","Mon Aug 08 14:10:01 GMT 2022","50687","","tests.CreditCardTest","","tests.CreditCardTest","succesGetCreditCard","succesGetCreditCard","Ввести корректные данные пользователя и оформить карту"
"passed","Mon Aug 08 14:10:39 GMT 2022","Mon Aug 08 14:11:15 GMT 2022","35504","","tests.CreditCardTest","","tests.CreditCardTest","failureGetCreditCard","failureGetCreditCard","Не вводить никаких данных пользователя и оформить карту"
"passed","Mon Aug 08 14:11:22 GMT 2022","Mon Aug 08 14:11:43 GMT 2022","21265","","tests.CreditCardTest","","tests.CreditCardTest","failureGetCreditCardInvalidDateEmail","failureGetCreditCardInvalidDateEmail","Ввести некорректный почтовый адрес и оформить карту"
"passed","Mon Aug 08 14:10:02 GMT 2022","Mon Aug 08 14:10:39 GMT 2022","37639","","tests.CreditCardTest","","tests.CreditCardTest","failureGetCreditCardInvalidFio","failureGetCreditCardInvalidFio","Ввести ФИО латиницей и оформить карту"
"passed","Mon Aug 08 14:11:15 GMT 2022","Mon Aug 08 14:11:22 GMT 2022","6847","","tests.CreditCardTest","","tests.CreditCardTest","failureGetCreditCardInvalidDateBirth","failureGetCreditCardInvalidDateBirth","Ввести в качестве даты рождения сегодняшнюю дату и оформить карту"
